Gd(ClO4)3,Co(Ac)2,NaAc,NaOH,EtOH,Gd104,Gd42
2.61,1.7,1.82,3.56,0.31,0.0,0.0
2.01,1.23,1.54,2.04,3.18,0.0,1.0
2.01,0.62,1.95,2.98,2.43,1.0,0.0
2.61,0.85,1.36,3.04,2.15,1.0,0.0
2.32,0.81,1.69,3.85,1.33,1.0,0.0
2.85,0.84,0.52,3.43,2.35,1.0,0.0
1.61,0.66,0.9,2.68,4.14,0.0,1.0
1.55,1.36,1.57,2.71,2.81,0.0,1.0
2.24,0.53,0.87,2.36,4.0,0.0,0.0
1.63,1.99,1.91,3.21,1.26,0.0,0.0
2.4,1.69,1.9,2.98,1.03,0.0,1.0
1.84,1.99,1.18,3.7,1.29,1.0,0.0
2.21,1.54,0.99,2.93,2.34,0.0,0.0
2.44,1.0,0.75,2.97,2.83,1.0,0.0
2.05,1.71,1.76,2.04,2.44,0.0,0.0
2.43,0.95,1.08,2.03,3.51,1.0,0.0
1.34,1.96,0.54,2.98,3.18,0.0,0.0
2.82,1.14,1.54,3.55,0.95,1.0,0.0
1.97,0.56,1.15,3.18,3.14,0.0,0.0
2.27,0.99,0.53,2.54,3.68,1.0,0.0
1.61,0.88,1.52,2.59,3.4,0.0,0.0
1.02,2.0,1.12,2.6,3.27,0.0,0.0
2.8,0.51,1.96,2.63,2.1,0.0,0.0
2.58,1.62,1.06,3.45,1.28,0.0,0.0
1.25,2.0,1.53,2.76,2.45,0.0,0.0
2.86,1.87,1.37,3.73,0.17,0.0,0.0
1.57,2.0,0.7,3.42,2.32,1.0,0.0
1.76,1.11,0.6,3.42,3.12,0.0,0.0
2.53,0.98,1.57,2.54,2.38,1.0,0.0
2.5,1.94,1.49,3.15,0.92,0.0,1.0
2.78,1.21,2.0,3.34,0.67,0.0,0.0
2.08,1.91,0.8,2.33,2.89,0.0,0.0
2.35,0.53,1.87,2.04,3.21,0.0,0.0
3.0,0.52,1.49,2.72,2.28,0.0,0.0
1.02,0.99,0.93,2.06,5.01,0.0,0.0
1.73,1.57,0.52,3.61,2.57,1.0,0.0
