Gd(ClO4)3,Co(Ac)2,NaAc,NaOH,EtOH,entropy_model1,entropy_model2,avg_entropy
1.8,0.97,1.97,2.2,3.06,0.6929,0.6929,0.6929
1.97,0.56,1.76,2.42,3.29,0.6929,0.6929,0.6929
2.44,1.94,1.83,3.98,-0.19,0.6928,0.6928,0.6928
1.84,0.59,0.51,2.48,4.58,0.6928,0.6928,0.6928
2.02,1.31,1.43,2.98,2.25,0.6927,0.6927,0.6927
2.33,1.04,1.36,3.54,1.73,0.6923,0.6923,0.6923
1.87,0.66,1.2,2.32,3.95,0.6922,0.6922,0.6922
1.96,1.9,1.13,3.16,1.86,0.6921,0.6921,0.6921
2.2,0.56,0.79,2.88,3.57,0.6914,0.6914,0.6914
2.75,0.63,1.14,3.87,1.62,0.6906,0.6906,0.6906
2.47,1.41,0.57,3.85,1.7,0.6891,0.6891,0.6891
2.72,0.7,1.95,3.58,1.06,0.6866,0.6866,0.6866
2.28,1.87,0.58,3.97,1.29,0.6849,0.6849,0.6849
1.45,1.87,1.2,2.4,3.08,0.6804,0.6804,0.6804
1.23,1.97,0.53,2.44,3.82,0.6423,0.6423,0.6423
2.09,1.16,1.84,2.57,2.34,0.6398,0.6398,0.6398
1.65,0.52,1.98,2.0,3.84,0.6383,0.6383,0.6383
2.39,0.51,1.29,3.49,2.32,0.6339,0.6339,0.6339
2.36,0.5,1.38,2.62,3.14,0.6322,0.6322,0.6322
1.26,1.46,1.86,2.02,3.4,0.6187,0.6187,0.6187
2.88,1.36,1.48,4.0,0.27,0.6142,0.6142,0.6142
1.28,1.34,1.37,2.1,3.91,0.6137,0.6137,0.6137
2.92,0.52,1.29,3.3,1.98,0.6072,0.6072,0.6072
2.15,1.42,1.84,3.57,1.02,0.6055,0.6055,0.6055
1.79,1.4,1.05,3.21,2.55,0.6051,0.6051,0.6051
1.92,1.6,1.26,2.57,2.64,0.603,0.603,0.603
1.08,1.37,0.58,2.19,4.78,0.597,0.597,0.597
2.22,0.87,0.67,3.55,2.68,0.5939,0.5939,0.5939
1.99,0.91,0.7,2.14,4.25,0.5802,0.5802,0.5802
2.95,1.09,0.57,3.87,1.52,0.5723,0.5723,0.5723
2.92,1.71,1.85,3.99,-0.47,0.5699,0.5699,0.5699
2.7,0.53,0.53,2.72,3.53,0.5672,0.5672,0.5672
1.72,1.9,0.5,2.11,3.77,0.5668,0.5668,0.5668
1.45,0.69,1.54,2.07,4.26,0.5622,0.5622,0.5622
1.77,1.9,1.21,2.01,3.11,0.5609,0.5609,0.5609
2.77,1.81,0.81,3.88,0.73,0.5592,0.5592,0.5592
2.61,1.7,1.82,3.56,0.31,0.5499,0.5499,0.5499
2.01,1.23,1.54,2.04,3.18,0.5417,0.5417,0.5417
2.01,0.62,1.95,2.98,2.43,0.5402,0.5402,0.5402
2.61,0.85,1.36,3.04,2.15,0.5388,0.5388,0.5388
2.32,0.81,1.69,3.85,1.33,0.5372,0.5372,0.5372
2.85,0.84,0.52,3.43,2.35,0.5349,0.5349,0.5349
1.61,0.66,0.9,2.68,4.14,0.5327,0.5327,0.5327
1.55,1.36,1.57,2.71,2.81,0.5233,0.5233,0.5233
2.24,0.53,0.87,2.36,4.0,0.5197,0.5197,0.5197
1.63,1.99,1.91,3.21,1.26,0.5155,0.5155,0.5155
2.4,1.69,1.9,2.98,1.03,0.5111,0.5111,0.5111
1.84,1.99,1.18,3.7,1.29,0.5094,0.5094,0.5094
2.21,1.54,0.99,2.93,2.34,0.5018,0.5018,0.5018
2.44,1.0,0.75,2.97,2.83,0.5015,0.5015,0.5015
2.05,1.71,1.76,2.04,2.44,0.5011,0.5011,0.5011
2.43,0.95,1.08,2.03,3.51,0.4981,0.4981,0.4981
1.34,1.96,0.54,2.98,3.18,0.4961,0.4961,0.4961
2.82,1.14,1.54,3.55,0.95,0.4951,0.4951,0.4951
1.97,0.56,1.15,3.18,3.14,0.4928,0.4928,0.4928
2.27,0.99,0.53,2.54,3.68,0.489,0.489,0.489
1.61,0.88,1.52,2.59,3.4,0.4851,0.4851,0.4851
1.02,2.0,1.12,2.6,3.27,0.4807,0.4807,0.4807
2.8,0.51,1.96,2.63,2.1,0.4793,0.4793,0.4793
2.58,1.62,1.06,3.45,1.28,0.4776,0.4776,0.4776
1.25,2.0,1.53,2.76,2.45,0.475,0.475,0.475
2.86,1.87,1.37,3.73,0.17,0.4745,0.4745,0.4745
1.57,2.0,0.7,3.42,2.32,0.4674,0.4674,0.4674
1.76,1.11,0.6,3.42,3.12,0.4655,0.4655,0.4655
2.53,0.98,1.57,2.54,2.38,0.4601,0.4601,0.4601
2.5,1.94,1.49,3.15,0.92,0.4582,0.4582,0.4582
2.78,1.21,2.0,3.34,0.67,0.4571,0.4571,0.4571
2.08,1.91,0.8,2.33,2.89,0.4561,0.4561,0.4561
2.35,0.53,1.87,2.04,3.21,0.4541,0.4541,0.4541
3.0,0.52,1.49,2.72,2.28,0.4533,0.4533,0.4533
1.02,0.99,0.93,2.06,5.01,0.4516,0.4516,0.4516
1.73,1.57,0.52,3.61,2.57,0.4514,0.4514,0.4514
